가녀린,"0,3",,
가능한,,,
가능한가,,,
가능할까,,,
가능해졌다,,,
가능해진다,,,
가능했다,,,
가득한,,,
가득해,,,
가득히,,,
가볍게,,,
가뿐한,"5,2",,
간편히,,,
갑작스러운,,,
갑작스런,,,
강력하고,"2,5",,
강력하네,"2,5",,
강력한,"2,5",,
강력할,"2,5",,
강력해진,"2,5",,
강력히,"2,5",,
강렬하게,"2,5",,
강렬하다,"2,5",,
강렬하며,"2,5",,
강렬한,"2,5",,
강렬해,"2,5",,
강렬해진,"2,5",,
강한,"2,5",,
강해,"2,5",,
강해져야,"2,5",,
강해졌고,"2,5",,
강했다,"2,5",,
강화한,,,
강화해야,,,
같,,,
같고,,,
같구나,,,
같네,,,
같다,,,
같다고,,,
같다는,,,
같던,,,
같아,,,
같아요,,,
같았,,,
같았던,,,
같은,,,
같은데,,,
같이한,,,
같지,,,
거대한,,,
거뜬한,,,
건강하게,"2,1",,
건강하고,"2,1",,
건강하길,,,
건강하자요,,,
건강한,"2,1",,
건강할,"2,1",,
건강함의,"2,1",,
건강했던,,,
건강히,"2,1",,
건전한,"4,3",,
검은,,,
견고한,"2,5",,
견고해진,"2,5",,
경솔한,,,
경솔했다,,,
경솔했습니다,,,
경쾌하게,"0,1",,
계신,,,
고군,,,
고급스러운,"4,3",,
고마운,,,
고마워,,,
고마워요,,,
고마워한,,,
고맙고,,,
고맙다,,,
고맙습니다,,,
고소한,,,
고운,"3,3",,
고파,,,
고픈,,,
곤란하지,,,
곱디,"3,2",,
괜찮아,,,
괜찮으면,,,
괜찮을까,,,
괴로워,,,
괴롭다,,,
굉장한,,,
굉장히,,,
구차해,,,
굳건,"5,4",,
굳세리,"5,4",,
궁금한,,,
궁금해,,,
궁금했다,,,
귀여운,"2,0",,
귀여워,"2,0",,
귀여워서,"2,0",,
귀엽게,"2,0",,
귀엽고,"2,0",,
귀엽네,"2,0",,
귀엽잖아요,"2,0",,
그래,,,
그랬나,,,
그러,,,
그러기,,,
그런,,,
그럴까,,,
그렇구나,,,
그리운,"2,2",,
그리워,"2,2",,
그리웠죠,,,
그만하겠다,,,
그만하고,,,
그만하려,,,
그만하지,,,
그만하지마,,,
그만할,,,
그만할게요,,,
극심한,,,
급한,,,
기대하세요,,,
기대해,,,
기대해도,,,
기막히게,"0,4",,
기막힌,"0,4",,
기묘한,"2,3",,
기뻐,"0,1",,
기쁘다,"0,1",,
기쁜,"0,1",,
길게,,,
길어,,,
길자,,,
깊,,,
깊게,,,
깊어진,,,
깊었다,,,
깊은,"3,5",,
까마득한,,,
까말까,,,
깔끔하게,"5,1",,
깜찍하게,"0,0",,
깜찍한,"0,0",,
깨끗한,"5,0",,
꾸준한,,,
꾸준히,,,
꿋꿋한,,,
끊임없는,,,
끊임없이,,,
끝없는,,,
나란히,,,
나빠,,,
나쁘면,,,
난처한,,,
난해한,,,
날렵한,"5,2",,
날카로운,"5,4",,
남다르네,"2,3",,
남다른,"2,3",,
남달라,"2,3",,
낮은,,,
낯설어서,,,
낯설음,,,
널찍한,,,
넓은,,,
넓을지,,,
넘쳐,,,
넘쳤던,,,
넘치네,,,
넘치는,,,
넘친,,,
넘친다,,,
노란,,,
노래였다,,,
노출한,"0,3",,
놀라운,,,
놀라워,,,
높고,,,
높기만,,,
높아,,,
높았다,,,
높은,,,
높은엔,,,
눈부셔,"1,4",,
눈부시게,"1,4",,
눈부신,"1,4",,
눈부신데,"1,4",,
늘씬한,"3,3",,
다르,,,
다르다,,,
다를까,,,
다소곳하게,"3,2",,
다양한,,,
다재다능한,"1,2",,
다정하게,"1,1",,
다정한,"1,1",,
다정함,"1,1",,
단단한,"2,5",,
달콤한,"1,0",,
담담하게,"5,5",,
담담한,"5,5",,
담백하게,"3,2",,
답답하지,,,
답답한,"3,5",,
당당하고,"0,4",,
당당한,"0,4",,
당당함은,"0,4",,
