'1억' 마세라티' 소유주가 서울시 공공임대주택 거주	노컷뉴스언론사 선정
경실련 "전국 민간소유 땅값, 文정부서 3123조원 올라…연평균 상승액은 역대...	매일경제언론사 선정
"인천국제공항공사 골프장 소유 입찰 과정 의혹 많아"	뉴스렙
대법 '다스 소유 의혹' MB 29일 선고…2심서 징역 17년	뉴스1
제주 동(洞) 지역 부동산 소유권 이전 등기 특별 조치법 시행	프레시안
"서울시 공공임대 세입자가 1억원짜리 마세라티 소유"	연합뉴스언론사 선정
장안사, 국가에 귀속된 성보(聖寶) 소유권 되돌려 받아	불교신문
부동산소유권 이전등기 특별조치법, 새롭게 시행됩니다 	헤드라인제주
서초구 '1가구 1주택 소유자' 재산세 감경 조례안 23일 공포	뉴스토마토
덴마크, 지역주민 소유권 20% 의무화	내일신문
"인천국제공항공사 골프장 소유 입찰 과정 의혹 많아"	뉴스렙
경기도 임대사업자 36만명…1명이 454채 소유·3세 아이도 등록	연합뉴스
文정부 고위공직자 10명 중 4명이 농지 소유…경실련 "가짜농부 잡아야"	TV조선언론사 선정
"中 때리더니…트럼프, 중국 은행 계좌 소유" NYT	뉴시스
경실련 "文정부 고위공직자 10명 중 4명 농지 소유"	파이낸셜뉴스언론사 선정
덴마크, 지역주민 소유권 20% 의무화	내일신문
‘경이로운 소문’ 유준상, 카운터 최강 괴력 소유자 변신…성난 나비 등근육...	한국경제TV
경실련 "고위공직자 10명 중 4명꼴 농지소유"	YTN
‘라디오스타’ 진성, 50살에 팬이었던 아내와 만남 “별장 소유했다고…” [...	MK스포츠
4억 롤스로이스 소유해도, 서초 17억 전세 살아도 건보료 0원	머니투데이언론사 선정
현대車 호주, 코나 일렉트릭 고객 대상 '차고 주차 금지' 권고 이메일 발송…...	뉴시안
동 지역도 부동산 소유권 이전등기 특별조치법 적용	KBS
文정부 고위공직자 10명중 4명이 농지 소유	문화일보언론사 선정
[판결](단독) 체납자 소유 주식이 해외주식… 강제집행 어렵다는 이유만으로	법률신문
고위공직자 10명 중 4명 농지 소유…“가짜 농부·투기 의혹”	SBS CNBC
[공식] 진구, 영화 '내겐 너무 소중한 너'(가제) 캐스팅…결벽증 소유자 변신	마켓뉴스
文 정부 고위공직자 10명 중 4명 농지 소유	경북일보
"대주주 기준 10억원 유지" 법안 발의...추경호, 소유주식 비율·시가총액도 ...	청년일보
한예슬, 팔색조 매력 소유자..로맨틱 시크 콘셉트 완벽 소화[화보]	헤럴드POP
소유권 이전 등기 전 전매가능 ‘운정신도시 제일풍경채 그랑퍼스트’	e대한경제
중국인 소유 땅 8년새 5배 급증	조선일보
[법률플러스] 소유권이전등기청구권의 양도(이준행 변호사)	경기일보
글래머 소유, 이 몸매 실화냐..대문자 S라인 보디라인 인증	헤럴드POP
부산 기장 장안사, 문화재 소유권 돌려받아	BBS NEWS
"땅없는 농부도 많은데···" 고위 공직자 10명 중 4명 농지소유	농축유통신문
표선면, '부동산 소유권 이전등기 등에 관한 특별조치법' 합동보증 실시	헤드라인제주
'요트원정대' 장혁-허경환-최여진-소유로 멤버 바꿔 '더 비기닝'편 시작!	MBC연예
유치권 행사 방해한 건물 소유社 직원…대법 "권리행사방해"	매일경제언론사 선정
재건축 결의 후 이주 안 한 소유자 등에 관리비 부과..."부당하다"며 부과 금...	아파트관리신문
소유의 가치를 높이다... 반얀트리 그룹 '카시아 속초'	한국경제TV
'요트원정대' 장혁→소유, 망망대해 위 '멍때리기' 포착	스타뉴스
농특위, 6개 법정리 농지전수조사…정확한 소유·이용 실태 드러날까	한국농어민신문
靑행정관 소유의 ‘옵티머스 돈세탁소’ 조폭살인 연루	조선일보언론사 선정
"호텔 객실만 139개"…'당나귀귀' 송훈, 백종원 소유 제주호텔에 '질투'	여성조선
[아유경제_오피니언] 관리처분계획 수립이 토지등소유자의 불균형을 초래할 경...	아유경제
부산 영도서 SUV 차량 전복···술 마신 차량소유주 운전 부인	일요신문
네이버, 차량 소유자 중심 서비스 '마이카' 오픈	e대한경제
국내 11개 손해사정업체 주식, 6개 母보험사가 100% 소유 "리모컨 경영"	세종의 소리
[2020국감]"정부, 9400억 차명재산 소유주 추적"	파이낸셜뉴스언론사 선정
[단독]'전참시' PD "함연지의 매력? "해피에너지 소유자!" [직격인터뷰]	스타뉴스
예래단지 토지주들 ‘소유권 이전 소송’ 또 승소	KBS
참으로 영원한 나의 소유	뉴스프리존
[2020 국감] HUG, 아파트 42채 소유 외국인에게 자금 지원	파이낸셜뉴스
철도공단 이사장, 신설 역사 인근 부동산 소유 논란	BBS NEWS
[판세] 출자자의 소유주식 등의 양도가 제한된 경우'의 의미	세정일보
제주서 다른 사람 소유 팽나무 파내고 산림 훼손 70대 구속	경향신문
소유·경영 분리 '2017년 SBS 10·13 합의'… 결국 공수표였나	기자협회보언론사 선정
BMW 소유주를 위한 골프대회 'BMW 조이 인비테이셔널’ 개최	아이뉴스24
이낙연 "1주택 장기소유자, '세금안심' 정책 마련해야"	오피니언뉴스
"소유‧경영 분리 노사합의 3년, SBS 대주주 지금 어딨나"	미디어오늘언론사 선정
당진시, 부동산소유권 특별조치법 추진	충청뉴스
월급쟁이도 '명작' 소유...10만원, 100만원 소액투자 OK	e대한경제
진성준 "위례보금자리 불법소유 野최춘식 7억원 잠재 시세차익"	연합뉴스언론사 선정
[이슈앤 직설] 이스타 항공 대량해고…‘실소유주’ 이상직은 어디에?	SBS CNBC언론사 선정
사모펀드 소유 기업들, 10%는 부도 위기	파이낸셜뉴스언론사 선정
사망한 BJ의 저작권, 아프리카TV 소유?	경향신문
농특위, 농지 소유·이용 실태 조사와 제도개선 방안 마련에 주력	농수축산신문
단독주택의 토지·건물만 소유 때 주택수 계산은?	한국경제
서귀포시, 행정 소유 경유차량 배출가스 특별 점검 실시	헤드라인제주
예래주거단지 소유권이전 등기 소송 토지주 승소	제주MBC
장경태 "野 의원 부친 소유 이진베이시티 용적률 올려준 건 특혜"	뉴스1
'요트원정대: 더 비기닝' 장혁X최여진X허경환X소유, 요트 도전기	텐아시아
성관계 영상 유포 협박, 비번 바꾸기… 유튜버 소유권 분쟁 백태	신동아언론사 선정
음성군, 읍내·갑산지구 소유자 경계조정 협의…800여 필지	뉴시스
백종원 소유 '호텔 더본' 증축 또 제동... "교통난 심각"	오마이뉴스
'파트너' 김호중, 3대 듀엣파트너 차윤승 선택 "빠져드는 목소리 소유자"	뉴스인사이드
[단독]여수상의, 회장 소유 골프장서 골프 안치면 피선거권 '제한'	노컷뉴스
멕시코 강진 때 붕괴된 초등학교 소유주 '과실치사' 31년형	연합뉴스
소유, 스웨터 사이로 살짝 드러난 '군살 제로 복근+한줌 허리'	스포츠조선
경기도, 지방도 보상하고도 소유권 못찾은 토지 '최소 1천억원' 상당	경기일보
"트럼프家, 소유리조트에 대동한 비밀경호국에 방값 청구"	MBC
'실화탐사대' 계양산 불법 개농장, 롯데가 소유의 땅 "200마리 갈곳 없어"	일요신문
고위 공직자 농지 소유 현황 발표 기자회견, 발언하는 윤순철 사무총장	뉴스핌
평창군, ‘용평돔’ 소유권 확보 제동…국제대회 차질 우려	KBS
소유, 운동으로 다져진 근육질 팔 자랑...`건강美 뿜뿜`	매일경제
소유, 크롭티로 살짝 뽐낸 복근..독한 자기관리 끝판왕	헤럴드POP
'요트원정대: 더 비기닝' 장혁→소유, 서해안 종주 도전 "연예인 아닌 사람 보...	OSEN
현대차, 코나EV 소유주에 "화재원인 분석중, 불편 끼쳐 죄송"	중앙일보언론사 선정
與'다주택 소유자'집안 정리 실시	대경일보
송파, 헬리오시티 뜨거운감자 "소유권보존 등기 위한 총회...이번엔 성공?"	파이낸스투데이
소유 합류, ‘캡틴’ 티저 공개…이승철·제시와 케미 예고	스포츠동아
평창군, ‘용평돔’ 소유권 확보 제동…국제대회 차질 우려	KBS
외국인 투자자 4명 중 1명 꼴로 ‘조세회피처’ 국적 소유…보유 주식 105조원...	헤럴드경제
靑이 '1주택자' 치켜세운 법제처장, '50억 부동산 소유' 논란	TV조선언론사 선정
[단독] 前 靑행정관, 옵티머스 주식 10% 소유…"명의 빌려준 것" 해명	TV조선언론사 선정
‘요트원정대2’ 장혁X최여진X허경환X소유 출연확정 “26일 첫방송”(공식)	뉴스엔
[단독] "옵티머스 돈 500억, 前 靑행정관 소유 회사로 빠져나가"	TV조선언론사 선정
[국감중계석] "대관령 목장업체, 산림청 소유임야 자기 땅처럼 돈장사"	강원도민일보
"서울엔 집이 없다"…대신 1200평 마당 소유주-4층 건물주 됐다	머니투데이
"소방청 소유의 모의비행장치 1대도 없어"... 헬기조종사, 훈련하러 산으로 바...	프레시안
文정부 고위공직자 10명 중 4명꼴 농지 소유…"농지법 위반 가능성"	신아일보
유치권 행사 방해한 건물 소유社 직원…대법 "권리행사방해"	매일경제언론사 선정
'요트원정대: 더 비기닝' 장혁·허경환·최여진·소유, 망망대해 위 “육지가...	스포츠조선
재건축 결의 후 이주 안 한 소유자 등에 관리비 부과..."부당하다"며 부과 금...	아파트관리신문
소유의 가치를 높이다... 반얀트리 그룹 '카시아 속초'	한국경제TV
[그래픽] 고위공직자 농지 소유 현황	연합뉴스
'요트원정대' 장혁→소유, 망망대해 위 '멍때리기' 포착	스타뉴스
"서울시 공공임대 세입자가 1억원짜리 마세라티 소유"	MBN
농특위, 6개 법정리 농지전수조사…정확한 소유·이용 실태 드러날까	한국농어민신문
靑행정관 소유의 ‘옵티머스 돈세탁소’ 조폭살인 연루	조선일보언론사 선정
靑행정관 소유의 ‘옵티머스 돈세탁소’ 조폭살인 연루	조선일보언론사 선정
‘요트원정대’ 장혁-허경환-최여진-소유, 망망대해 위 멍한 모습	뉴스엔
"호텔 객실만 139개"…'당나귀귀' 송훈, 백종원 소유 제주호텔에 '질투'	여성조선
고위공직자 농지소유 현황 조사 발표	연합뉴스
[아유경제_오피니언] 관리처분계획 수립이 토지등소유자의 불균형을 초래할 경...	아유경제
부산 영도서 SUV 차량 전복···술 마신 차량소유주 운전 부인	일요신문
[경기도 국감] 심상정 "경기도 임대사업자 36만명…1명이 454채 소유·3세 아...	경기일보
네이버, 차량 소유자 중심 서비스 '마이카' 오픈	e대한경제
국내 11개 손해사정업체 주식, 6개 母보험사가 100% 소유 "리모컨 경영"	세종의 소리
"서울시 공공임대 세입자가 1억원짜리 마세라티 소유"	오늘경제
국내 11개 손해사정업체 주식, 6개 母보험사가 100% 소유 "리모컨 경영"	세종의 소리
