[단독] 하이트진로, 日 '참이슬' TV 광고 첫 론칭…소주 최대시장 홀린다	더구루
‘샤인 생분해테이프’ 주목	패션비즈
하타노 유이, '인형인가?' SNS 속 미모 화제	뉴스컬처
유이, 건강미인 행보 이어간다	일간스포츠
[국감현장] 병무청장 "유승준 아니라 스티브 유입니다"	연합뉴스TV언론사 선정
유이, '상큼+러블리' 미소에 팬들 '심멎'	뉴스컬처
[국감말말말] "유승준이 아닙니다. 스티브 유입니다""	연합뉴스TV
이특·유이, DMZ콘서트 MC…송가인·ITZY·몬스타엑스 출연	일간스포츠
“뭐? 50분이나 추가했다고?” 영화 ‘확장판’ 잇달아 재개봉	서울신문
‘SF8-증강 콩깍지’ 유이, 적극적인 매력을 지닌 ‘지원’	한국경제
‘다만악 파이널컷’ 10월 21일 개봉…러닝타임 6분 14초 추가	스포츠동아
[방송소식] 유이, 굿네이버스 주거지원 캠페인 참여	연합뉴스
‘라스트핏’ 유이 “굶는 다이어트, 내 몸에게 미안했다”	스포츠동아
[프린세스커넥트] 도발 탱커 편성, 힐러 4열 배치 자제! 루나의 탑 '킹 오르카...	인벤
유이, 처연+고독 가을 여신 [화보]	스포츠동아
황정민X이정재X박정민 완전체…‘다만 악’ 파이널컷 예고편 공개	스포츠동아
'맵부심' 유이, ‘불닭소스’ 진짜 모델 됐다	한국경제TV
하타노 유이, 귀여운 토끼 코스프레 눈길	뉴스컬처
'전참시' 동네 형 같은 유이, '넘사벽' 털털 매력	일간스포츠
유이, 주변을 밝히는 명품 이목구비...'예쁨주의'	뉴스컬처
'전참시' 유이 매니저, 방송 최초 염밍아웃?…궁금증↑	뉴시스
'맵부심' 유이, 불닭소스 모델 발탁	일간스포츠
유이, 몽환적인 인형 비주얼 [화보]	스포츠동아
'전참시' 매니저 "유이, 친형보다 더 형 같아"···털털 매력 인증	일간스포츠
유이, 탄탄 보디라인...`매트 위 요정`	매일경제
[방송소식] 유이, 홈트레이닝 콘텐츠 '라스트핏' MC	연합뉴스
'SF8' 유이 "스크린 속의 나, 예뻐보였다"	일간스포츠
'나 혼자 산다' 유이 "내가 문제가 있나" 고충 토로	YTN
유이, 네이버TV로 홈트레이닝 콘텐츠 진행	문화뉴스
[포토] 인형같은 유이	매일경제
유이 파격 뒤태…섹시+건강美 다 뿜어냈다 [화보]	스포츠동아
[HI★포토] 유이, 매혹적인 눈빛	한국일보
여배우 NO! 동네 형 같은 유이의 털털한 일상 공개해	한국경제
유이 '아름다운 미모'[엑's HD포토]	엑스포츠뉴스
'전참시' 제이쓴, 홍현희 일일 매니저 변신…'배려왕' 유이 등장(종합)	뉴스1
[DAY컷] 유이, 망고 엄마의 탄탄 건강 美	스포츠동아
우리가 몰랐던 유이, 그가 전하는 일상의 행복	노컷뉴스
[공카 위클리] 프린세스 커넥트 10월 3주차, 한국 서버도 전용 캐릭터가 나올...	게임메카
유이, 설렘 가득한 눈망울~[포토엔HD]	뉴스엔
'나혼산' 유이, 눕방 라이프→맵부심 먹방...자취 3년차 리얼 일상	YTN
'SF8' 최시원X유이의 완벽 케미가 만들어낼 핑크빛 SF의 세계	스포츠조선
[화보IS] 유이, 운동으로 완성한 탄탄한 건강미	일간스포츠
'나 혼자 산다' 유이 출격, '프로눕방러' 예고	한국경제
[포토]유이, '미모에 시선이~'	일간스포츠
'개는 훌륭하다' 유이-남이안, 일일 견학생으로 출연	한국경제
유이 "내가 나를 사랑해주는 것이 건강한 삶"	일간스포츠
‘개훌륭’ 유이X남이안, 반려견의 고민 해결 방법	국민일보
유이, 실루엣마저 치명적인 `섹시美`	MK스포츠
유이, 우아한 미모	서울경제
'전참시' 유이, 장트러블 매니저에 "XXX 힘줘!"..'완전 털털'	enews24
유이 '증강 콩깍지' 주역	서울경제
유이, 운동으로 완성한 탄탄 보디라인 '시선강탈'	텐아시아
[오마이포토] 'SF8' 유이, SF적인 아우라	오마이뉴스
'나혼자산다' 유이, 데뷔 12년차의 숨겨온 솔직한 속내 고백	스포츠서울
'나 혼자 산다' 유이·이시언, 자취러 취향 저격한 '나홀로 소확행'	이데일리
'나 혼자 산다' 유이 "진짜 내 모습 보여드리고 싶었다"	이데일리
유이, 꿀벅지에 세미누드까지···철저하게 준비한 역대급 섹시美 대폭발	서울경제
‘전참시’ 유이, 이렇게 털털해도 되나..소탈 그 자체	한스경제
'다만악 파이널컷' 황정민X이정재X박정민, 더 강렬해진 액션 시퀀스	스타뉴스
유이X남이안 '개훌륭' 출연, 스타견 망고X꼬마♥꼬솜 매력 발산	스포츠조선
'나혼산' 유이X이시언,'자취러' 취향저격...金 밤 최고 예능	스포츠서울
유이, 티셔츠+레깅스 조합이 이렇게 잘 어울리다니…‘건강미’ 넘치는 근황	세계일보
[포토]유이, 블랙 드레스	이데일리
[포토]유이, 해맑은 미소	이데일리
[N화보] 유이 '과감 의상+파격 포즈'…완벽 보디라인 공개	뉴스1
유이 “요가를 통해 나를 다독이고 위로하는 방법 배웠다”	스포츠동아
유이, BIFAN 관객과의 대화.."나 자신이 예뻐보여"	스타뉴스
유이, 아름다운 보디라인+건강미...세미누드 화보 공개	YTN
유이, 맵부심 뽐냈던 매운소스 광고모델 선정 "저 성덕이에요"	매일경제
유이, 세미 누드 콘셉트 완벽 소화(화보)	뉴스컬처
유이, 화보야 영화야? 내추럴 무드의 우아한 가을 시크룩	패션엔
유이, 거식증 루머 심경고백→'파격' 세미누드 공개→건강美 발산[종합]	엑스포츠뉴스
'라스트핏' 배우 유이, '무결점 몸매' 다정다감 운동팁…운동 루틴 '호평' 10...	스포츠조선
‘BIFAN’ 유이 “스크린 통해 본 내 모습 예뻐 보였다”	뉴스엔
배우 유이, 완벽한 바디라인의 파격 세미 누드 화보 공개	문화저널21
'전참시' 유이 매니저, 방송 최초 염밍아웃...장트러블 스릴러 찍은 사연은?	한국일보
“맵부심 있어요”…유이 삼양식품 불닭소스 모델 발탁	국민일보
[개는 훌륭하다] 천사같은 반려견과 함께 등장한 오늘의 견학생~ 배우 유이와...	KBS 연예
유이, '나 혼자 산다'서 집 공개...프로눕방러+속마음 밝혀	이데일리
'나혼산' 유이, '눕방' 라이프→에너지 폭발 '폴 댄스'	스타뉴스
삼양식품‘불닭소스’, 매운맛 마니아 ‘유이’ 모델 선정	조세일보
'전참시' 유이, 물티슈 클렌징→매니저 장트러블 스릴러까지 '넘사벽 털털美'	스포티비뉴스
'나 혼자 산다' 유이, 뱃살·거식증 악플에 "울었다"…이시언, 금연송 도전 [...	텐아시아
‘나 혼자 산다’ 유이 소확행 하루+이시언 고독한 요양 ‘뜨거운 화제성 입증...	MBC연예
